    Step    Atoms         KinEng            rke         Volume 
       0        0              0              0         0.4968 
    Step    Atoms         KinEng            rke         Volume 
       0        0              0              0         0.4968 
    Step    Atoms         KinEng            rke         Volume 
       0        0              0              0         0.4968 
      10     6368  3.4741333e-10              0         0.4968 
      20     6368  1.4637553e-09              0         0.4968 
      30     6368  3.3499883e-09              0         0.4968 
      40     6368  6.0061124e-09              0         0.4968 
      50     6368  9.4321275e-09              0         0.4968 
      60     6368  1.3628034e-08              0         0.4968 
      70     6368  1.8593831e-08              0         0.4968 
      80     6368  2.4329519e-08              0         0.4968 
      90     6368  3.0835098e-08              0         0.4968 
     100     6368  3.8110568e-08              0         0.4968 
    Step    Atoms         KinEng            rke         Volume 
     100     6368  3.8110568e-08              0         0.4968 
     110     6368  4.6155921e-08              0         0.4968 
     120     6368  5.4971164e-08              0         0.4968 
     130     6368  6.4556296e-08              0         0.4968 
     140     6368  7.4911318e-08              0         0.4968 
     150     6368  8.6036229e-08              0         0.4968 
     160     6368   9.793103e-08              0         0.4968 
     170     6368  1.1059572e-07              0         0.4968 
     180     6368   1.240303e-07              0         0.4968 
     190     6368  1.3823477e-07              0         0.4968 
     200     6368  1.5320913e-07              0         0.4968 
    Step    Atoms         KinEng            rke         Volume 
     200     6368  1.5320913e-07              0         0.4968 
     210     6368  1.6894967e-07              0         0.4968 
     220     6368  1.8545975e-07              0         0.4968 
     230     6368  2.0273937e-07              0         0.4968 
     240     6368  2.2078852e-07              0         0.4968 
     250     6368  2.3960721e-07              0         0.4968 
     260     6368  2.5919543e-07              0         0.4968 
     270     6368  2.7955319e-07              0         0.4968 
     280     6368  3.0068049e-07              0         0.4968 
     290     6368  3.2257732e-07              0         0.4968 
     300     6368  3.4524369e-07              0         0.4968 
    Step    Atoms         KinEng            rke         Volume 
     300     6368  3.4524369e-07              0         0.4968 
     310     6368   3.686796e-07              0         0.4968 
     320     6368  3.9288505e-07              0         0.4968 
     330     6368  4.1786004e-07              0         0.4968 
     340     6368  4.4360456e-07              0         0.4968 
     350     6368  4.7011862e-07              0         0.4968 
     360     6368  4.9740221e-07              0         0.4968 
     370     6368  5.2545534e-07              0         0.4968 
     380     6368  5.5427801e-07              0         0.4968 
     390     6368  5.8387022e-07              0         0.4968 
     400     6368  6.1423196e-07              0         0.4968 
    Step    Atoms         KinEng            rke         Volume 
     400     6368  6.1423196e-07              0         0.4968 
     410     6368  6.4536325e-07              0         0.4968 
     420     6368  6.7726408e-07              0         0.4968 
     430     6368  7.0993444e-07              0         0.4968 
     440     6368  7.4337435e-07              0         0.4968 
     450     6368  7.7758379e-07              0         0.4968 
     460     6368  8.1256276e-07              0         0.4968 
     470     6368  8.4831128e-07              0         0.4968 
     480     6368  8.8482933e-07              0         0.4968 
     490     6368  9.2211692e-07              0         0.4968 
     500     6368  9.6017404e-07              0         0.4968 
